"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Order management","1","0","Get all orders when no orders exist","0"
"0","","0","Order management","1","0","No orders with negative amounts exist","0"
"0","","0","Login","3","0","Mandatory fields validation","0"
"0","","0","Cart page properties","1","0","Cart page order correctness after adding a product to the cart from the Main page","0"
"0","","0","Main page properties","1","0","Adding/removing various products to/from cart from the Main page","0"
"0","","0","Main page properties","1","0","User can log out from Main page","0"
"0","","0","Login","1","0","User with valid credentials can log in","0"
"0","","0","Main page properties","1","0","Definite number of products is shown on the Main page","0"
"0","","0","Main page properties","1","0","Specific products and order on the Main page","0"
